transformed_feature,selected_feature,type,pearson_r,spearman_rho,mean_shap_active,mean_shap_inactive,active_count
duration_min,duration_min,numeric,0.3337,0.7042,,,
release_year,release_year,numeric,0.0949,0.1252,,,
danceability,danceability,numeric,0.8362,0.9168,,,
energy,energy,numeric,0.0204,0.2708,,,
loudness,loudness,numeric,0.4758,0.7561,,,
speechiness,speechiness,numeric,-0.6196,-0.7577,,,
acousticness,acousticness,numeric,-0.8751,-0.8547,,,
instrumentalness,instrumentalness,numeric,-0.6432,0.0607,,,
liveness,liveness,numeric,-0.4274,-0.6597,,,
valence,valence,numeric,-0.7371,-0.7693,,,
tempo,tempo,numeric,-0.3102,-0.4263,,,
release_month,release_month,numeric,-0.1456,0.1272,,,
decade,decade,binary,,,0.9563124212406565,,5000.0
release_month_sin,release_month_sin,numeric,-0.1522,-0.195,,,
release_month_cos,release_month_cos,numeric,-0.2611,-0.2436,,,
year_in_decade,year_in_decade,numeric,-0.4654,-0.3494,,,
duration_log,duration_log,numeric,0.6975,0.7307,,,
duration_squared,duration_squared,numeric,-0.2712,0.459,,,
energy_danceability,energy_danceability,numeric,0.3662,0.2659,,,
energy_valence,energy_valence,numeric,-0.8569,-0.8736,,,
danceability_valence,danceability_valence,numeric,0.1952,0.1729,,,
acousticness_instrumentalness,acousticness_instrumentalness,numeric,-0.4571,-0.0234,,,
energy_liveness,energy_liveness,numeric,-0.0006,0.0673,,,
speechiness_explicit,speechiness_explicit,numeric,0.8184,0.6467,,,
tempo_danceability,tempo_danceability,numeric,0.7268,0.7178,,,
loudness_energy,loudness_energy,numeric,0.7479,0.8227,,,
release_precision_day,release_precision,binary,,,0.02302046035111276,-0.2150660844896421,4941.0
release_precision_month,release_precision,binary,,,,-0.007034912955309342,0.0
release_precision_year,release_precision,binary,,,-0.08844729882981803,0.04243463538214687,59.0
key_0,key,binary,,,-0.27061642562170984,0.047420558027673476,589.0
key_1,key,binary,,,0.896620189707079,-0.032035551341310475,546.0
key_10,key,binary,,,0.09231423120947958,-0.006578650506789845,360.0
key_11,key,binary,,,0.1785920894636361,-0.01776303743983102,403.0
key_2,key,binary,,,-0.2235857825514318,0.04365305632920191,425.0
key_3,key,binary,,,0.46722441924890085,-0.0035420481560645106,142.0
key_4,key,binary,,,0.026840652111228828,0.0008628757966253908,393.0
key_5,key,binary,,,0.0033354646498521536,0.0052957700669363965,388.0
key_6,key,binary,,,0.592241123402723,-0.0231432649951111,415.0
key_7,key,binary,,,-0.18019979006088382,0.046528503669893466,536.0
key_8,key,binary,,,0.6764843245317745,-0.06974949710479798,357.0
key_9,key,binary,,,-0.08008443803753136,0.014909257196207431,446.0
time_signature_1.0,time_signature,binary,,,-0.00287241615721264,-7.47943089840207e-05,23.0
time_signature_3.0,time_signature,binary,,,-0.06641444994544422,0.01865186039367558,274.0
time_signature_4.0,time_signature,binary,,,0.05683722298968886,-0.14525411359128915,4639.0
time_signature_5.0,time_signature,binary,,,0.002915428446598244,0.00023266392963140032,64.0
explicit_False,explicit,binary,,,-0.04424006031701272,0.723159986283379,4161.0
explicit_True,explicit,binary,,,0.0007248108678030494,9.65338141717594e-05,839.0
mode_0,mode,binary,,,-0.29817879696025595,0.15527169876043487,2078.0
mode_1,mode,binary,,,0.009626113635893663,-0.022987251613315128,2922.0
